Loading configuration file "../inputs/tiny.inp" ...
Initializing simulation state ...
# x y z u v w
5.05429 1.51031 1.09981 -0.0318059 0.0233976 0.00462632
4.9073 1.81617 0.911158 0.019638 -0.054543 -0.0480585
5.36785 1.53576 0.987105 0.154201 0.0132106 -0.0520098
5.15533 1.32042 1.18674 -0.0187354 0.0143084 0.0774843
4.82068 1.78108 0.705791 0.0367111 -0.0709684 0.0162874
5.24613 1.60935 1.21737 0.0417308 -0.0267113 0.103524
4.89559 1.67177 0.70008 0.0235044 -0.0600698 0.0165835
5.16641 1.34896 0.866326 -0.0134799 0.0221607 -0.0335525
5.05658 1.3974 1.1569 -0.0321686 0.0328741 0.0520836
5.32492 1.35432 1.10125 0.108562 0.0235721 0.00574161
4.94678 1.27915 0.788618 0.00449277 0.00401743 -0.00259473
5.26627 1.2683 0.67894 0.0586894 0.00200631 0.0163764
5.3663 1.86662 0.988491 0.151067 -0.0111226 -0.0517673
5.20432 1.32876 1.19976 0.00952229 0.0166203 0.0884248
5.10088 1.29669 0.863689 -0.0335271 0.00802218 -0.0325367
5.24508 1.56991 1.21258 0.0408638 -0.00401194 0.0993145
5.17308 1.48141 1.11621 -0.00997567 0.0314994 0.0176866
5.16553 1.70602 0.885912 -0.0139264 -0.0721883 -0.0406294
4.87932 1.74867 0.661134 0.0281947 -0.0768567 0.0145168
5.21588 1.46841 0.842604 0.0178503 0.0338433 -0.0240812
4.95544 1.30465 0.924334 0.000931264 0.010051 -0.0509325
5.13904 1.79894 1.18558 -0.0251155 -0.0639363 0.0765087
5.19444 1.5119 0.738987 0.00283883 0.0228422 0.0117713
5.15378 1.29156 1.02821 -0.0194142 0.00677303 -0.0396566
5.09876 1.3477 1.02772 -0.0337257 0.0218221 -0.0398685
4.8972 1.77748 0.747285 0.0229961 -0.0720546 0.00994358
5.07431 1.85963 0.77613 -0.0340529 -0.0188487 0.00172262
4.95383 1.78903 0.686106 0.00159453 -0.0681776 0.0166809
5.00537 1.50451 1.04458 -0.0187233 0.0253349 -0.0318492
5.06025 1.29844 1.17801 -0.0326956 0.00845744 0.0701053
5.27218 1.37359 0.756003 0.0637496 0.0282758 0.00775011
5.25468 1.42792 0.780118 0.0488688 0.0359641 0.000386865
4.94242 1.29363 1.02319 0.00627094 0.0072702 -0.0417312
5.32024 1.27573 0.96623 0.104635 0.00333847 -0.054207
